title,description,appointment_date,appointment_time,end_time,category,priority,status,room,recurring,recurring_interval,notes
Code Review API,"Review API Modul",2026-03-03,10:00:00,11:00:00,code-review,hoch,geplant,C301,0,,"API prüfen"
Testing Backend,"Backend testen",2026-03-04,14:00:00,15:00:00,testing,mittel,geplant,D401,0,,""
Deployment v2.1,"Deployment Release 2.1",2026-03-05,16:00:00,18:00:00,deployment,hoch,geplant,A102,0,,""
API Docs Update März,"Swagger aktualisieren",2026-03-06,08:00:00,08:30:00,dokumentation,dringend,geplant,B202,0,,""
Sprint Planning Mar 2,"Sprint 2 Planung",2026-03-07,09:00:00,10:00:00,sprint-planung,mittel,geplant,C302,0,,""
Planning Q3,"Q3 Feature Planung",2026-03-08,09:00:00,12:00:00,planning,mittel,geplant,D402,0,,"Roadmap"
Sprint Planning Mar 3,"Sprint 3",2026-03-09,09:00:00,10:00:00,sprint-planung,hoch,geplant,A103,0,,""
Code Review Frontend,"Review Frontend",2026-03-10,10:00:00,11:00:00,code-review,hoch,geplant,B203,0,,"UI prüfen"
Infrastructure Update,"Server Update",2026-03-11,08:00:00,12:00:00,deployment,niedrig,geplant,C303,0,,""
Security Review,"Security Review",2026-03-12,11:00:00,12:00:00,testing,mittel,geplant,D403,0,,""
Sprint Review März,"Sprint Review",2026-03-13,14:00:00,15:00:00,team-meeting,hoch,geplant,A104,0,,""
Documentation Sprint März,"API & Code Docs",2026-03-14,09:00:00,11:00:00,dokumentation,mittel,geplant,B204,0,,""
Code Review Checkout,"Review Checkout",2026-03-15,10:00:00,11:00:00,code-review,dringend,geplant,C304,0,,""
Sprint Planning Apr,"Sprint Planung April",2026-04-01,09:00:00,10:00:00,sprint-planung,mittel,geplant,A101,0,,"Q2 Sprint"
Daily Standup April,"Tägliches Teammeeting",2026-04-02,09:30:00,09:45:00,team-meeting,niedrig,geplant,B201,0,,""
Code Review Shop,"Review Shop Modul",2026-04-03,10:00:00,11:00:00,code-review,hoch,geplant,C301,0,,"Shop prüfen"
Testing Payments,"Payments testen",2026-04-04,14:00:00,15:00:00,testing,mittel,geplant,D401,0,,""
Deployment v2.2,"Deployment Release 2.2",2026-04-05,16:00:00,18:00:00,deployment,hoch,geplant,A102,0,,""
API Docs Update April,"Swagger aktualisieren",2026-04-06,08:00:00,08:30:00,dokumentation,dringend,geplant,B202,0,,""
Sprint Planning Apr 2,"Sprint 2 Planung",2026-04-07,09:00:00,10:00:00,sprint-planung,mittel,geplant,C302,0,,""
Planning Q4,"Q4 Feature Planung",2026-04-08,09:00:00,12:00:00,planning,mittel,geplant,D402,0,,"Roadmap"
Sprint Planning Apr 3,"Sprint 3",2026-04-09,09:00:00,10:00:00,sprint-planung,hoch,geplant,A103,0,,""
Code Review Backend,"Review Backend",2026-04-10,10:00:00,11:00:00,code-review,hoch,geplant,B203,0,,"Backend prüfen"
Infrastructure Patch,"Server Patch",2026-04-11,08:00:00,12:00:00,deployment,niedrig,geplant,C303,0,,""
Security Patch,"Security Patch",2026-04-12,11:00:00,12:00:00,testing,mittel,geplant,D403,0,,""
Sprint Review April,"Sprint Review",2026-04-13,14:00:00,15:00:00,team-meeting,hoch,geplant,A104,0,,""
Documentation Sprint April,"API & Code Docs",2026-04-14,09:00:00,11:00:00,dokumentation,mittel,geplant,B204,0,,""
Code Review Payments,"Review Payments",2026-04-15,10:00:00,11:00:00,code-review,dringend,geplant,C304,0,,""
Sprint Planning Mai,"Sprint Planung Mai",2026-05-01,09:00:00,10:00:00,sprint-planung,mittel,geplant,A101,0,,"Q2 Sprint"
Daily Standup Mai,"Tägliches Teammeeting",2026-05-02,09:30:00,09:45:00,team-meeting,niedrig,geplant,B201,0,,""
Code Review Docs,"Review Docs Modul",2026-05-03,10:00:00,11:00:00,code-review,hoch,geplant,C301,0,,"Docs prüfen"
Testing Shop,"Shop testen",2026-05-04,14:00:00,15:00:00,testing,mittel,geplant,D401,0,,""
Deployment v2.3,"Deployment Release 2.3",2026-05-05,16:00:00,18:00:00,deployment,hoch,geplant,A102,0,,""
API Docs Update Mai,"Swagger aktualisieren",2026-05-06,08:00:00,08:30:00,dokumentation,dringend,geplant,B202,0,,""
Sprint Planning Mai 2,"Sprint 2 Planung",2026-05-07,09:00:00,10:00:00,sprint-planung,mittel,geplant,C302,0,,""
Planning 2026,"2026 Feature Planung",2026-05-08,09:00:00,12:00:00,planning,mittel,geplant,D402,0,,"Roadmap"
Sprint Planning Mai 3,"Sprint 3",2026-05-09,09:00:00,10:00:00,sprint-planung,hoch,geplant,A103,0,,""
Code Review Mai,"Review Mai",2026-05-10,10:00:00,11:00:00,code-review,hoch,geplant,B203,0,,"Mai prüfen"
Infrastructure Mai,"Server Update Mai",2026-05-11,08:00:00,12:00:00,deployment,niedrig,geplant,C303,0,,""
Security Review Mai,"Security Review Mai",2026-05-12,11:00:00,12:00:00,testing,mittel,geplant,D403,0,,""
Sprint Review Mai,"Sprint Review",2026-05-13,14:00:00,15:00:00,team-meeting,hoch,geplant,A104,0,,""
Documentation Sprint Mai,"API & Code Docs",2026-05-14,09:00:00,11:00:00,dokumentation,mittel,geplant,B204,0,,""
Code Review Abschluss,"Review Abschluss",2026-05-15,10:00:00,11:00:00,code-review,dringend,geplant,C304,0,,""
